playername;playerteam;age
George Mikan;Bucks;28
Dennis Rodman;Blazers;38
Kobe Bryant;Bucks;38
Kobe Bryant;Bucks;22
Vince carter;Blazers;36
Reggie Miller;Wizards;18
James Worthy;Rockets;19
Karl Malone;Blazers;18
Carmelo Anthony;Magic;39
Michael Jordan;Kings;24
Penny Hardaway;Heat;39
Anthony Davis;Nets;35
Chris Bosh;Nets;28
George Mikan;Grizzlies;37
Blake Griffin;76ers;37
Elgin Baylor;Kings;23
Kareem Abdul-Jabbar;Bucks;33
Manute Bol;Grizzlies;41
Kareem Abdul-Jabbar;Bulls;37
George Mikan;Hawks;39
Paul Pierce;Pelicans;39
George Mikan;Mavericks;21
Ray Allen;Suns;35
Isiah Thomas;Lakers;39
Steve Nash;Pistons;18
Patrick Ewing;Hawks;28
Steve Nash;Kings;31
George Mikan;Warriors;18
Kemba Walker;Pelicans;27
Dirk Nowitzki;Nuggets;25
Carmelo Anthony;Jazz;24
Klay Thompson;Bulls;28
Carmelo Anthony;Magic;24
Larry Bird;Grizzlies;35
Yao Ming;76ers;33
Tracy McGrady;Pacers;36
Paul George;Timberwolves;28
Shaquille Oneal;Suns;31
Vince carter;Pelicans;36
Michael Jordan;Jazz;19
Dominique Wilkins;Raptors;31
Dirk Nowitzki;Magic;19
Bradley Beal;Grizzlies;36
CJ McCollum;Wizards;39
Jerry West;Mavericks;33
Ja Morant;Warriors;26
John Wall;Lakers;25
Bill Russell;Knicks;38
Magic Johnson;Heat;37
Tim Duncan;Wizards;32
Klay Thompson;Celtics;23
LeBron James;Pelicans;21
Tim Duncan;Magic;34
James Worthy;Clippers;28
Patrick Ewing;Timberwolves;18
Luka Doncic;76ers;32
Anthony Davis;Spurs;26
John Stockton;Clippers;36
Luka Doncic;Warriors;39
Isiah Thomas;Raptors;33
Michael Jordan;Heat;30
Steph Curry;Blazers;38
Karl Anthony-Towns;Kings;38
Allen Iverson;Bucks;23
DeMar DeRozan;Wizards;22
Tracy McGrady;Knicks;28
Dirk Nowitzki;Magic;19
Jamal Murray;Magic;38
Penny Hardaway;Lakers;19
Anthony Davis;Suns;36
Michael Jordan;Jazz;37
Bradley Beal;Warriors;32
Donovan Mitchell;Magic;28
Dwyane Wade;Nets;20
Mugsy Bouges;Grizzlies;33
Devin Booker;Wizards;29
Kyrie irving;Lakers;29
George Gervin;Raptors;24
Steph Curry;Heat;22
Tracy McGrady;Knicks;24
Bradley Beal;Suns;23
David Robinson;Magic;30
Damian Lillard;Pelicans;19
Rudy Gobert;Pacers;41
Jason Kidd;Bucks;18
Tracy McGrady;Pacers;31
Patrick Ewing;Raptors;38
Vince carter;Pelicans;28
Jerry West;Jazz;33
Kevin Garnett;Warriors;36
Ja Morant;Thunder;35
Luka Doncic;Pacers;36
Joel Embiid;Mavericks;38
Manute Bol;Thunder;31
Karl Anthony-Towns;Wizards;19
Klay Thompson;Hawks;31
Joel Embiid;Cavaliers;20
Dwyane Wade;Bucks;34
Patrick Ewing;Pacers;35
Kevin Garnett;Nuggets;28
Scottie Pippen;Clippers;29
Moses Malone;Pelicans;35
Allen Iverson;Mavericks;26
Jerry West;Cavaliers;32
Karl Malone;Pistons;32
Paul Pierce;Timberwolves;37
George Gervin;Pelicans;39
Kareem Abdul-Jabbar;Celtics;30
Jerry West;Pelicans;25
Carmelo Anthony;Bulls;30
Wilt Chamberlain;Cavaliers;32
Russell Westbrook;Hornets;21
DeMar DeRozan;Magic;36
Giannis Antetokounmpo;Cavaliers;28
George Mikan;Nets;37
Moses Malone;Kings;37
Kevin McHale;Celtics;25
Steph Curry;Grizzlies;31
Dominique Wilkins;Pistons;33
Kawhi Leonard;Nuggets;34
Dominique Wilkins;Nuggets;18
Mugsy Bouges;76ers;39
Chris Bosh;Timberwolves;25
Dennis Rodman;Wizards;31
George Mikan;Clippers;27
Kevin McHale;Nets;24
Scottie Pippen;Pistons;26
Carmelo Anthony;Pelicans;20
Ja Morant;Pacers;26
Nikola Jokic;Celtics;27
Patrick Ewing;Jazz;28
Ray Allen;Kings;28
Tracy McGrady;Jazz;38
Chris Paul;Thunder;20
Reggie Miller;Heat;37
Joel Embiid;Celtics;30
Giannis Antetokounmpo;Thunder;31
Tim Duncan;Suns;33
Larry Bird;Bucks;28
Carmelo Anthony;Timberwolves;33
Kevin McHale;Celtics;37
James Harden;Clippers;28
James Harden;Spurs;22
Devin Booker;Blazers;35
Karl Malone;Suns;22
Jason Kidd;Cavaliers;41
Giannis Antetokounmpo;Kings;40
Dominique Wilkins;Raptors;38
Scottie Pippen;76ers;37
Michael Jordan;Blazers;33
Anthony Davis;Mavericks;30
Chris Bosh;76ers;27
Ja Morant;Kings;32
Bill Russell;Bucks;39
Jerry West;Heat;41
Penny Hardaway;Kings;21
Rudy Gobert;Cavaliers;22
Paul Pierce;Warriors;25
Jerry West;Lakers;35
Kevin Durant;Pistons;28
George Mikan;Lakers;33
Steph Curry;Bucks;25
David Robinson;Heat;27
Kobe Bryant;Nets;37
Shaquille Oneal;Celtics;32
Kevin McHale;Celtics;34
Chris Bosh;Hornets;33
Charles Barkley;Nuggets;34
John Stockton;Raptors;24
Moses Malone;Celtics;19
Manute Bol;Grizzlies;31
Bradley Beal;Celtics;39
Russell Westbrook;Kings;32
Giannis Antetokounmpo;Wizards;25
Manute Bol;Nets;22
Damian Lillard;Blazers;40
Kobe Bryant;Hornets;27
Reggie Miller;Nuggets;20
John Stockton;Pistons;35
Damian Lillard;Clippers;24
Chris Bosh;Nets;24
Giannis Antetokounmpo;Hawks;31
Kevin Durant;Kings;35
Karl Malone;Nuggets;18
Anthony Davis;Kings;32
Karl Anthony-Towns;Nuggets;31
Damian Lillard;Thunder;31
Wilt Chamberlain;Jazz;21
Moses Malone;Jazz;37
Kevin McHale;Mavericks;28
Blake Griffin;Thunder;39
Anthony Davis;Wizards;23
Kareem Abdul-Jabbar;Blazers;19
Magic Johnson;Cavaliers;19
Kareem Abdul-Jabbar;Pelicans;29
Rudy Gobert;Bulls;30
Kevin Garnett;Suns;28
Rudy Gobert;Celtics;34
Kareem Abdul-Jabbar;Grizzlies;22
Damian Lillard;Hornets;33
Steve Nash;Bulls;31
Scottie Pippen;Nets;32
Chris Paul;Grizzlies;32
Devin Booker;Timberwolves;34
Michael Jordan;Jazz;38
Giannis Antetokounmpo;Kings;27
Rudy Gobert;Mavericks;18
Carmelo Anthony;Spurs;25
James Harden;Wizards;32
Michael Jordan;Pistons;19
Shaquille Oneal;Jazz;32
John Stockton;Magic;30
Russell Westbrook;Lakers;28
George Mikan;Nuggets;26
Kareem Abdul-Jabbar;Rockets;30
Ja Morant;Rockets;40
Chris Bosh;Pelicans;41
Klay Thompson;Pelicans;36
Manute Bol;Pacers;18
Wilt Chamberlain;Suns;35
Dominique Wilkins;Magic;32
Kareem Abdul-Jabbar;Warriors;38
Kevin Durant;Bulls;32
Anthony Davis;Cavaliers;26
Jerry West;Jazz;34
Manute Bol;Thunder;32
Ja Morant;Celtics;37
Kemba Walker;Lakers;30
Jamal Murray;Kings;34
Michael Jordan;Bulls;41
Paul Pierce;Pelicans;22
Kawhi Leonard;Thunder;23
Joel Embiid;Knicks;19
Chris Paul;Thunder;30
Klay Thompson;Pistons;21
Vince carter;Grizzlies;20
Charles Barkley;Heat;20
Karl Malone;Pacers;23
Scottie Pippen;Blazers;36
Wilt Chamberlain;Magic;31
Wilt Chamberlain;Cavaliers;26
George Mikan;Celtics;18
CJ McCollum;Bulls;37
Kemba Walker;Bulls;25
Steve Nash;Cavaliers;19
Dennis Rodman;Pacers;19
John Wall;Spurs;35
John Stockton;Pacers;39
Dirk Nowitzki;Timberwolves;24
Anthony Davis;Blazers;37
DeAron Fox;Suns;25
Mugsy Bouges;Pacers;28
Dwyane Wade;Clippers;23
Ray Allen;Suns;20
Nikola Jokic;Hawks;18
Rudy Gobert;Pistons;32
Kevin Durant;Thunder;39
Allen Iverson;Raptors;19
Mugsy Bouges;Blazers;40
Luka Doncic;Hornets;22
Scottie Pippen;Hornets;31
Wilt Chamberlain;Pelicans;37
Rudy Gobert;Nets;27
James Worthy;76ers;28
George Gervin;Hawks;23
Jerry West;Nuggets;23
Dwight Howard;Nets;37
Tim Duncan;Warriors;37
Dominique Wilkins;Blazers;28
Steve Nash;Wizards;21
George Gervin;Hawks;26
George Mikan;Warriors;39
Yao Ming;Mavericks;41
DeAron Fox;Hawks;33
Klay Thompson;Timberwolves;20
Luka Doncic;Rockets;33
Manute Bol;Jazz;38
Ray Allen;Bucks;19
Moses Malone;Nets;19
Giannis Antetokounmpo;Nuggets;39
Tim Duncan;Wizards;21
Steve Nash;Nets;20
Luka Doncic;Magic;38
Devin Booker;Timberwolves;28
Dominique Wilkins;Cavaliers;30
Dwyane Wade;Kings;28
Tim Duncan;Kings;31
Jason Kidd;Bucks;35
Joel Embiid;Timberwolves;33
Hakeem Olajuwon;Hornets;31
Devin Booker;Cavaliers;35
Chris Bosh;Blazers;39
Kyrie irving;Pelicans;32
Magic Johnson;Lakers;24
Anthony Davis;Nets;29
Kevin McHale;Bulls;40
Kyrie irving;Blazers;27
Kawhi Leonard;Nets;20
George Mikan;Bulls;25
CJ McCollum;Magic;31
Carmelo Anthony;Warriors;36
Blake Griffin;Heat;19
Reggie Miller;Knicks;40
Ray Allen;Mavericks;29
Mugsy Bouges;Thunder;24
Anthony Davis;Nets;24
Dwyane Wade;Rockets;21
Dennis Rodman;Blazers;21
Kevin McHale;Nets;28
Rudy Gobert;Raptors;24
Bradley Beal;Warriors;20
Scottie Pippen;Bulls;41
Dwyane Wade;Clippers;22
Dirk Nowitzki;Mavericks;24
James Worthy;Timberwolves;38
Steph Curry;Blazers;21
Kevin McHale;Blazers;40
Karl Anthony-Towns;Kings;40
George Mikan;Lakers;20
David Robinson;Cavaliers;40
Luka Doncic;Blazers;31
Ray Allen;Grizzlies;24
John Stockton;Bucks;38
Yao Ming;Raptors;29
James Worthy;Rockets;37
Kevin McHale;Suns;30
Giannis Antetokounmpo;Thunder;25
CJ McCollum;76ers;36
Chris Paul;Jazz;36
James Harden;Blazers;20
Tim Duncan;Hornets;26
Kyrie irving;Pistons;20
Joel Embiid;Suns;34
Mugsy Bouges;Thunder;37
Kevin Durant;Mavericks;41
Donovan Mitchell;Thunder;34
Vince carter;Magic;27
Jerry West;Warriors;34
Anthony Davis;Hornets;21
Russell Westbrook;Nets;40
Joel Embiid;Nuggets;41
David Robinson;Mavericks;26
Jason Kidd;Hawks;40
Julius Erwing;Mavericks;25
CJ McCollum;Bucks;32
George Gervin;Celtics;20
Ray Allen;Grizzlies;34
Tracy McGrady;76ers;30
Reggie Miller;Pistons;38
Michael Jordan;Hawks;40
Scottie Pippen;Warriors;29
CJ McCollum;Pelicans;27
Tim Duncan;Kings;41
James Worthy;Lakers;25
Anthony Davis;Pelicans;33
Jason Kidd;Nuggets;27
LeBron James;Blazers;32
Manute Bol;Kings;21
Carmelo Anthony;Blazers;32
Russell Westbrook;Kings;29
Steph Curry;Bucks;23
Julius Erwing;Bucks;30
CJ McCollum;Warriors;32
Dennis Rodman;Celtics;34
Wilt Chamberlain;Suns;35
Kobe Bryant;Warriors;41
Kareem Abdul-Jabbar;Nuggets;29
Penny Hardaway;Wizards;40
Paul George;Magic;19
Kyrie irving;Knicks;35
Wilt Chamberlain;Spurs;37
Shaquille Oneal;Nuggets;20
DeAron Fox;Clippers;25
Isiah Thomas;Hawks;31
Chris Bosh;Clippers;40
Jerry West;Blazers;20
DeAron Fox;Pacers;22
Tracy McGrady;Nets;41
Karl Anthony-Towns;Blazers;40
Reggie Miller;Suns;25
Michael Jordan;Magic;32
Damian Lillard;76ers;39
Kemba Walker;Hornets;39
LeBron James;Jazz;24
Kobe Bryant;Hornets;25
Steve Nash;76ers;40
Tim Duncan;Hawks;20
Elgin Baylor;Heat;18
Kevin Garnett;Knicks;18
Ray Allen;Rockets;25
Paul Pierce;Hornets;37
Nikola Jokic;Lakers;25
Scottie Pippen;Kings;20
Carmelo Anthony;Bulls;26
Blake Griffin;Lakers;31
Bradley Beal;Kings;23
Penny Hardaway;Hornets;36
Moses Malone;Jazz;19
Karl Malone;Lakers;36
Paul George;Rockets;37
Bradley Beal;Knicks;19
Dominique Wilkins;Wizards;18
Luka Doncic;Kings;28
Rudy Gobert;Hawks;40
Shaquille Oneal;76ers;23
Dirk Nowitzki;Warriors;36
Jason Kidd;Magic;30
Elgin Baylor;Magic;18
Wilt Chamberlain;Timberwolves;25
Shaquille Oneal;Nets;27
Kemba Walker;Heat;33
Karl Anthony-Towns;Rockets;37
David Robinson;Rockets;20
Kevin McHale;Pacers;34
Dwight Howard;Mavericks;41
Bradley Beal;Kings;22
Kareem Abdul-Jabbar;Rockets;38
Magic Johnson;Suns;21
Yao Ming;Bucks;29
Allen Iverson;Grizzlies;28
Mugsy Bouges;Lakers;30
Manute Bol;Wizards;34
Giannis Antetokounmpo;Timberwolves;32
Anthony Davis;Pistons;21
Steve Nash;Celtics;20
Ray Allen;Blazers;34
Kevin McHale;Bucks;40
Moses Malone;Bulls;28
Allen Iverson;Pacers;28
Scottie Pippen;Warriors;40
Joel Embiid;Jazz;39
Joel Embiid;Pelicans;34
Donovan Mitchell;Blazers;22
Magic Johnson;Nuggets;37
Mugsy Bouges;Kings;23
Blake Griffin;Kings;19
Kevin Garnett;Raptors;33
Devin Booker;Nets;23
DeMar DeRozan;Celtics;32
Kevin Garnett;Grizzlies;33
Bradley Beal;Heat;19
DeAron Fox;Grizzlies;27
Dominique Wilkins;Hawks;35
Hakeem Olajuwon;Lakers;34
Nikola Jokic;Warriors;26
Bill Russell;Jazz;26
Donovan Mitchell;Grizzlies;41
Nikola Jokic;Bucks;39
Dirk Nowitzki;Spurs;38
Hakeem Olajuwon;Pistons;30
Kevin Garnett;Celtics;20
John Wall;Magic;23
Dwyane Wade;Pistons;34
Devin Booker;Suns;23
Kevin Durant;Nets;29
Karl Anthony-Towns;Spurs;25
Dominique Wilkins;Hawks;23
Dwyane Wade;Pelicans;33
Paul George;Mavericks;28
Klay Thompson;Kings;33
Nikola Jokic;Blazers;18
Moses Malone;Grizzlies;30
Kevin McHale;Thunder;41
Jerry West;Warriors;41
Kevin Durant;Nuggets;33
Chris Bosh;Nuggets;29
Kemba Walker;Clippers;25
Magic Johnson;Kings;27
George Gervin;Cavaliers;41
Jamal Murray;Suns;36
Tracy McGrady;Nets;39
Russell Westbrook;Hawks;26
Chris Paul;Spurs;19
Dwyane Wade;Pelicans;22
Kyrie irving;Cavaliers;37
Hakeem Olajuwon;Rockets;24
James Harden;Jazz;30
David Robinson;Clippers;24
Carmelo Anthony;Blazers;18
Steve Nash;Pistons;31
Ja Morant;Raptors;22
Ja Morant;Bucks;31
Ray Allen;Lakers;25
Rudy Gobert;Celtics;20
Dennis Rodman;Bucks;30
Chris Bosh;Magic;35
Karl Malone;Heat;22
Dirk Nowitzki;Suns;18
Kyrie irving;Pacers;41
John Stockton;Hawks;19
Rudy Gobert;Bulls;34
Dwight Howard;Rockets;35
LeBron James;Cavaliers;19
Paul George;Grizzlies;26
Allen Iverson;Suns;23
Julius Erwing;Hornets;34
Giannis Antetokounmpo;Cavaliers;18
Giannis Antetokounmpo;Jazz;37
Isiah Thomas;Rockets;38
Tim Duncan;Blazers;27
Kevin Durant;Mavericks;26
Vince carter;Raptors;23
Penny Hardaway;Pelicans;41
Paul George;Kings;41
Kobe Bryant;Thunder;41
Charles Barkley;Hawks;23
Luka Doncic;Clippers;24
Charles Barkley;Jazz;29
Karl Anthony-Towns;Wizards;32
Moses Malone;Thunder;34
Larry Bird;Jazz;24
Steve Nash;76ers;21
Julius Erwing;Wizards;23
Kyrie irving;Bucks;41
Joel Embiid;76ers;40
CJ McCollum;Blazers;28
Kemba Walker;Knicks;18
Giannis Antetokounmpo;Pelicans;26
LeBron James;Spurs;20
Kevin Garnett;Warriors;40
Vince carter;Cavaliers;35
Blake Griffin;Spurs;34
Jason Kidd;Cavaliers;41
Bradley Beal;Hawks;36
John Stockton;Jazz;22
John Stockton;Mavericks;29
Vince carter;Wizards;25
Ray Allen;Pelicans;41
Moses Malone;Timberwolves;28
Jamal Murray;Rockets;33
Elgin Baylor;Clippers;22
Larry Bird;Knicks;23
Dennis Rodman;Pacers;22
Carmelo Anthony;Lakers;35
Patrick Ewing;Timberwolves;40
Giannis Antetokounmpo;Heat;29
Steve Nash;Hornets;31
Larry Bird;Kings;27
Dwight Howard;Kings;22
Manute Bol;Clippers;34
Shaquille Oneal;Bulls;22
Magic Johnson;Thunder;23
Paul Pierce;76ers;39
Ja Morant;Grizzlies;19
Moses Malone;Spurs;38
Kareem Abdul-Jabbar;Celtics;27
Magic Johnson;Timberwolves;35
Rudy Gobert;Nets;32
Anthony Davis;Warriors;28
Kareem Abdul-Jabbar;Hornets;20
Giannis Antetokounmpo;Pistons;24
LeBron James;Thunder;29
Ray Allen;76ers;32
Kawhi Leonard;Thunder;26
Carmelo Anthony;Bucks;35
Kyrie irving;Pistons;30
Luka Doncic;76ers;30
James Worthy;Cavaliers;38
Patrick Ewing;Celtics;36
Rudy Gobert;Pacers;26
Bill Russell;Celtics;37
Dwight Howard;Lakers;37
David Robinson;Rockets;19
Manute Bol;Pacers;21
Steve Nash;76ers;24
Ja Morant;Nets;35
Hakeem Olajuwon;Hawks;28
Chris Bosh;76ers;22
Klay Thompson;Pelicans;22
Rudy Gobert;Celtics;38
Luka Doncic;Rockets;32
Hakeem Olajuwon;Suns;33
Julius Erwing;Thunder;26
Vince carter;Pistons;21
Steph Curry;Nets;20
Vince carter;Heat;19
CJ McCollum;Bulls;25
Ray Allen;Nets;31
Isiah Thomas;Pelicans;27
Damian Lillard;Blazers;38
Tracy McGrady;Lakers;21
Julius Erwing;Bulls;20
Reggie Miller;76ers;24
Kyrie irving;Timberwolves;35
Devin Booker;Bulls;36
Steve Nash;Mavericks;40
Kemba Walker;Mavericks;25
DeMar DeRozan;Kings;39
Nikola Jokic;Bucks;27
Steph Curry;Suns;27
Steve Nash;Pacers;29
Dominique Wilkins;Blazers;26
Russell Westbrook;Raptors;37
Magic Johnson;Suns;35
Penny Hardaway;Bulls;28
Kawhi Leonard;Jazz;32
Kevin McHale;Wizards;30
Dennis Rodman;Pacers;18
Donovan Mitchell;Bulls;29
Bradley Beal;Pistons;30
Devin Booker;Celtics;39
Rudy Gobert;Pistons;32
Kevin Durant;Grizzlies;34
CJ McCollum;76ers;22
Kawhi Leonard;Mavericks;41
Jamal Murray;Suns;28
John Wall;Cavaliers;36
Elgin Baylor;Rockets;26
Elgin Baylor;Knicks;36
David Robinson;Warriors;24
Allen Iverson;Blazers;21
Kyrie irving;Clippers;40
Hakeem Olajuwon;Hawks;38
Ja Morant;Magic;41
Isiah Thomas;Kings;38
Anthony Davis;Rockets;26
Charles Barkley;Bucks;40
Ja Morant;76ers;41
Shaquille Oneal;Lakers;38
Hakeem Olajuwon;Lakers;35
Tracy McGrady;Pistons;39
Wilt Chamberlain;Hornets;20
Klay Thompson;Bulls;25
Larry Bird;Jazz;36
Damian Lillard;Cavaliers;33
Carmelo Anthony;Wizards;37
Penny Hardaway;Pacers;30
Tim Duncan;Bulls;26
DeMar DeRozan;Celtics;35
Tim Duncan;Rockets;32
Magic Johnson;Spurs;25
Nikola Jokic;Hornets;36
Magic Johnson;Raptors;37
Isiah Thomas;Blazers;35
Moses Malone;Blazers;22
Steve Nash;Spurs;29
James Harden;Pacers;39
Jerry West;Nets;21
Chris Paul;Bucks;39
Steph Curry;76ers;21
Wilt Chamberlain;Jazz;37
Scottie Pippen;Timberwolves;30
Allen Iverson;Nuggets;23
Kyrie irving;Bucks;40
Jason Kidd;Timberwolves;21
Yao Ming;Grizzlies;39
Rudy Gobert;Rockets;20
Manute Bol;Pelicans;34
George Gervin;Rockets;19
Dominique Wilkins;Timberwolves;40
Devin Booker;Bucks;18
Charles Barkley;Cavaliers;39
Elgin Baylor;Warriors;28
Ray Allen;Jazz;24
Kevin Durant;Lakers;20
Vince carter;Pistons;22
Penny Hardaway;Mavericks;41
Kareem Abdul-Jabbar;Grizzlies;18
Jerry West;Jazz;20
Dirk Nowitzki;Hornets;37
CJ McCollum;Mavericks;21
Jamal Murray;Kings;31
Elgin Baylor;76ers;24
Dirk Nowitzki;Cavaliers;22
Reggie Miller;Cavaliers;25
Yao Ming;Blazers;35
Manute Bol;Blazers;36
Dirk Nowitzki;Suns;19
Karl Malone;Suns;27
Kevin McHale;Mavericks;29
Steve Nash;Bulls;34
Kareem Abdul-Jabbar;Magic;33
DeAron Fox;Warriors;35
Jason Kidd;Warriors;29
DeMar DeRozan;Heat;31
George Mikan;Celtics;26
Chris Bosh;Grizzlies;33
Ray Allen;Warriors;35
Larry Bird;Wizards;26
Karl Anthony-Towns;Blazers;25
Allen Iverson;Grizzlies;37
Scottie Pippen;Clippers;36
Rudy Gobert;Timberwolves;38
Joel Embiid;Celtics;39
Paul Pierce;Magic;23
Larry Bird;76ers;24
Allen Iverson;Magic;26
Karl Anthony-Towns;Hawks;35
Anthony Davis;Bulls;32
Dwyane Wade;Grizzlies;30
Joel Embiid;Nets;30
Hakeem Olajuwon;Clippers;41
Shaquille Oneal;Grizzlies;31
Yao Ming;Thunder;33
Anthony Davis;Bucks;19
Chris Bosh;Nuggets;19
Jamal Murray;Wizards;28
Yao Ming;Cavaliers;24
Rudy Gobert;Raptors;24
Nikola Jokic;Kings;38
DeMar DeRozan;Raptors;32
Kyrie irving;Pelicans;19
Klay Thompson;76ers;39
Manute Bol;Heat;37
Kobe Bryant;Clippers;23
Klay Thompson;Nets;36
Bill Russell;Lakers;21
LeBron James;Wizards;36
Paul Pierce;Mavericks;32
DeAron Fox;Wizards;33
LeBron James;Warriors;24
Bradley Beal;Kings;37
LeBron James;Wizards;26
Jamal Murray;Mavericks;34
Paul George;Bulls;27
Damian Lillard;Blazers;18
Wilt Chamberlain;Raptors;32
Carmelo Anthony;Warriors;21
Mugsy Bouges;Heat;36
Larry Bird;76ers;35
Kobe Bryant;76ers;38
Dominique Wilkins;Warriors;34
Jerry West;Nuggets;28
DeAron Fox;Hornets;28
Chris Bosh;Mavericks;35
Vince carter;Kings;23
Dwyane Wade;Clippers;39
Kobe Bryant;76ers;30
Vince carter;Nets;33
Yao Ming;Clippers;36
Joel Embiid;Heat;27
George Mikan;Lakers;37
John Stockton;Suns;25
Dennis Rodman;Bulls;36
Paul George;Rockets;38
Isiah Thomas;Wizards;22
Elgin Baylor;Mavericks;38
Ray Allen;Rockets;32
Kawhi Leonard;Hornets;32
Nikola Jokic;Nuggets;28
Patrick Ewing;Hawks;25
Vince carter;Pelicans;34
Anthony Davis;Timberwolves;37
Carmelo Anthony;Lakers;26
Nikola Jokic;Wizards;20
Magic Johnson;Clippers;18
Nikola Jokic;Nuggets;33
Carmelo Anthony;Suns;35
CJ McCollum;Mavericks;38
Dennis Rodman;Knicks;36
Luka Doncic;Warriors;26
Patrick Ewing;Hawks;27
Rudy Gobert;Suns;21
Donovan Mitchell;Blazers;28
James Harden;Jazz;21
Dominique Wilkins;Bulls;26
LeBron James;Heat;31
Julius Erwing;Clippers;25
Kawhi Leonard;Hawks;19
Magic Johnson;Jazz;23
DeMar DeRozan;Clippers;38
Steve Nash;Kings;30
Mugsy Bouges;Raptors;23
DeMar DeRozan;Bulls;19
Damian Lillard;Wizards;39
CJ McCollum;Hornets;35
Kevin McHale;Blazers;21
Paul George;Warriors;37
Carmelo Anthony;Mavericks;21
Reggie Miller;Timberwolves;23
DeMar DeRozan;Clippers;25
Kyrie irving;Knicks;23
Rudy Gobert;Celtics;37
Tracy McGrady;Nets;23
DeAron Fox;Lakers;37
Wilt Chamberlain;Bucks;39
Donovan Mitchell;Clippers;40
Hakeem Olajuwon;Spurs;34
David Robinson;Grizzlies;27
Paul Pierce;Heat;40
Scottie Pippen;Blazers;20
Penny Hardaway;Cavaliers;23
Magic Johnson;Knicks;30
Scottie Pippen;Cavaliers;24
Giannis Antetokounmpo;Hawks;32
Bill Russell;Pelicans;31
Michael Jordan;Magic;38
James Harden;Wizards;34
Dwight Howard;Nuggets;39
Russell Westbrook;Pelicans;30
Carmelo Anthony;Celtics;35
Dennis Rodman;Raptors;39
Kemba Walker;Wizards;26
Reggie Miller;Grizzlies;29
Nikola Jokic;Timberwolves;28
Ray Allen;Magic;26
Carmelo Anthony;Blazers;28
Steph Curry;Heat;24
John Wall;Heat;21
Manute Bol;Kings;30
Jerry West;Timberwolves;27
Ja Morant;Pacers;21
Magic Johnson;Raptors;18
Donovan Mitchell;Heat;38
Kevin Durant;Celtics;27
George Mikan;Wizards;18
Tracy McGrady;Pelicans;20
Bill Russell;Heat;27
Dominique Wilkins;76ers;19
Jason Kidd;Pelicans;22
Penny Hardaway;Lakers;36
Carmelo Anthony;Nuggets;35
Paul Pierce;Knicks;37
Scottie Pippen;Celtics;41
Steph Curry;76ers;38
Shaquille Oneal;Pacers;25
George Mikan;Mavericks;31
Karl Malone;Timberwolves;28
John Wall;Jazz;25
Steph Curry;Pelicans;30
Rudy Gobert;Bucks;36
Dennis Rodman;Kings;38
DeAron Fox;Knicks;20
Chris Paul;Warriors;30
Ja Morant;Bulls;29
Ja Morant;Pistons;18
Scottie Pippen;Kings;35
John Stockton;Hawks;40
Joel Embiid;Magic;21
Steph Curry;Bucks;36
Patrick Ewing;76ers;29
Jamal Murray;Warriors;31
Kawhi Leonard;Kings;32
Isiah Thomas;Hornets;26
Hakeem Olajuwon;Warriors;33
Julius Erwing;Celtics;20
Jerry West;Heat;26
LeBron James;Lakers;22
Mugsy Bouges;Magic;36
Vince carter;Celtics;31
Devin Booker;Spurs;36
Karl Malone;Suns;31
Moses Malone;Nuggets;39
Chris Bosh;Celtics;35
Donovan Mitchell;Spurs;21
John Wall;Celtics;26
Devin Booker;Knicks;18
Manute Bol;Timberwolves;18
Bradley Beal;Pelicans;29
Allen Iverson;Warriors;36
George Gervin;Lakers;40
LeBron James;Spurs;23
Jamal Murray;Nuggets;36
James Worthy;Hawks;26
Tracy McGrady;76ers;36
Scottie Pippen;Heat;33
Chris Paul;Knicks;38
Bradley Beal;Spurs;28
DeAron Fox;Lakers;22
Kareem Abdul-Jabbar;Nuggets;19
Manute Bol;Wizards;40
Kevin Durant;76ers;28
Jerry West;76ers;33
Paul George;Celtics;33
Donovan Mitchell;Pacers;41
Allen Iverson;Raptors;34
DeAron Fox;Warriors;40
Allen Iverson;Celtics;32
Kevin Durant;Magic;30
Wilt Chamberlain;Nuggets;20
Kevin Garnett;Clippers;20
Tracy McGrady;Lakers;33
Shaquille Oneal;Lakers;30
Kevin Garnett;Suns;18
Karl Anthony-Towns;Magic;31
Rudy Gobert;Timberwolves;38
Magic Johnson;Pacers;40
Elgin Baylor;Heat;35
Paul Pierce;Pelicans;19
Kobe Bryant;Celtics;22
CJ McCollum;Magic;25
Anthony Davis;Pistons;28
Kevin McHale;Spurs;27
George Gervin;Clippers;24
Giannis Antetokounmpo;Spurs;23
DeAron Fox;Magic;34
Jason Kidd;Nets;33
Karl Anthony-Towns;Blazers;27
Dominique Wilkins;Knicks;32
DeMar DeRozan;Lakers;35
David Robinson;Celtics;39
Kareem Abdul-Jabbar;Grizzlies;24
Luka Doncic;Nuggets;28
Steph Curry;Pistons;33
Julius Erwing;Suns;40
Hakeem Olajuwon;Celtics;20
Kyrie irving;Hornets;23
Chris Bosh;Nets;28
Dennis Rodman;Hornets;27
Carmelo Anthony;Spurs;41
Klay Thompson;76ers;30
Tim Duncan;Blazers;30
Giannis Antetokounmpo;Suns;36
Penny Hardaway;Celtics;30
DeMar DeRozan;Celtics;37
Paul George;Timberwolves;26
David Robinson;Rockets;33
Isiah Thomas;Kings;23
Kareem Abdul-Jabbar;Nets;39
